NPDES_ID,ENF_IDENTIFIER,ACTIVITY_ID,ACTIVITY_TYPE_CODE,ENF_TYPE_CODE,ENF_TYPE_DESC,AGENCY,SETTLEMENT_ENTERED_DATE,FED_PENALTY_ASSESSED_AMT,STATE_LOCAL_PENALTY_AMT,FAC_NAME,FAC_STREET,FAC_CITY,FAC_STATE,FAC_ZIP,FAC_COUNTY,FAC_EPA_REGION,FAC_LAT,FAC_LONG,FAC_DERIVED_WBD,FAC_DERIVED_CD113,FAC_PERCENT_MINORITY,FAC_POP_DEN,FAC_DERIVED_HUC,FAC_SIC_CODES,FAC_NAICS_CODES,DFR_URL
FLG110229,FL-N00000478,2400279725,AFR,SCWAAPO,State CWA Penalty AO,State,,,,ARGOS USA - HUDSON PLANT,8430 ARCOLA AVE,HUDSON,FL,34667,PASCO,4,28.37872,-82.67495,31002070306,12,9.087,1071.23,3100207,3273,327320,http://echo.epa.gov/detailed-facility-report?fid=110010051674
FLU024515,04-2002-N034,2400279887,AFR,309G2B,CWA 309G2B AO For Class II Penalties,EPA,,,,FL AUTO RECYCLERS,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110012689126
FLR20CW99,FL-19-1549,3602211835,AFR,SCWAAPO,State CWA Penalty AO,State,04/10/2020,,10000,DIXON PRESERVE S/D,UNKNOWN,PACE,FL,32571,SANTA ROSA,4,30.623189,-87.175439,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110070597837
FL0033332,04-1995-N016,2400277410,JDC,CIV,Civil Judicial Action,EPA,12/27/1994,,,MOSAIC FERTILIZER LLC,14305 FORT LONESOME PLANT ROAD,LITHIA,FL,33547,HILLS,4,27.73292,-82.1294,31002040203,17,9.96,9.31,3100204,1475,212392,http://echo.epa.gov/detailed-facility-report?fid=110002008005
FL0033332,04-1989-N006,2400277406,AFR,309A,CWA 309A AO For Compliance,EPA,03/03/1989,,,MOSAIC FERTILIZER LLC,14305 FORT LONESOME PLANT ROAD,LITHIA,FL,33547,HILLS,4,27.73292,-82.1294,31002040203,17,9.96,9.31,3100204,1475,212392,http://echo.epa.gov/detailed-facility-report?fid=110002008005
FL0033332,04-1993-N018,2400277404,AFR,309A,CWA 309A AO For Compliance,EPA,11/30/1992,,,MOSAIC FERTILIZER LLC,14305 FORT LONESOME PLANT ROAD,LITHIA,FL,33547,HILLS,4,27.73292,-82.1294,31002040203,17,9.96,9.31,3100204,1475,212392,http://echo.epa.gov/detailed-facility-report?fid=110002008005
FL0116793,FL-17-1210,3601375898,AFR,SCWAAPO,State CWA Penalty AO,State,02/26/2018,,0,NASSAU REGIONAL WWTF,STATE ROAD 200 (A1A) AT CHESTER ROAD,YULEE,FL,32097,NASSAU,4,30.621638,-81.553085,30702050303,4,13.913,511.49,3070205,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110027951410
FL0116793,FL-10-1211,3400252753,AFR,SCWAAO,State CWA Non Penalty AO,State,07/28/2010,,,NASSAU REGIONAL WWTF,STATE ROAD 200 (A1A) AT CHESTER ROAD,YULEE,FL,32097,NASSAU,4,30.621638,-81.553085,30702050303,4,13.913,511.49,3070205,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110027951410
FL0116793,FL-16-0025,3600734781,AFR,SCWAAPO,State CWA Penalty AO,State,05/27/2016,,0,NASSAU REGIONAL WWTF,STATE ROAD 200 (A1A) AT CHESTER ROAD,YULEE,FL,32097,NASSAU,4,30.621638,-81.553085,30702050303,4,13.913,511.49,3070205,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110027951410
FLU900073,04-1990-N001,2400276020,AFR,309A,CWA 309A AO For Compliance,EPA,08/10/1990,,,DIXON TICONDEROGA CO.,UNKNOWN,UNKNOWN,FL,0,INDIAN RIVER,4,27.700638,-80.574803,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110011333716
FLG913453,FL-N00000967,2400279408,AFR,SCWAAPO,State CWA Penalty AO,State,,,,RALLY WEST HILLSBOROUGH,2356 WEST HILLSBOROUGH AVENUE,TAMPA,FL,33603,HILLSBOROUGH,4,27.99605,-82.4837,31002050503,14,70.3,4455.88,3100205,,,http://echo.epa.gov/detailed-facility-report?fid=110038108393
FLR10OR38,04-2017-5506,3601175792,AFR,309G2A,CWA 309G2A AO For Class I Penalties,EPA,09/13/2017,8500,,AIRFIELD IMPROVEMENTS AT LAKE WALES MUNICIPAL AIRPORT,440 S AIRPORT RD,LAKE WALES,FL,33859,POLK,4,27.90105,-81.62056,31001010202,17,52.048,391.11,3100101,,,http://echo.epa.gov/detailed-facility-report?fid=110063609518
FL0023396,04-1991-N028,2400273546,AFR,309A,CWA 309A AO For Compliance,EPA,09/06/1991,,,WELLINGTON ARMS CONDO WWTP,6530 N. OCEAN BLVD.,OCEAN RIDGE,FL,33435,PALM BEACH,4,26.5312,-80.04768,30902060803,22,48.101,4160.01,3090202,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110006778834
FLU990528,04-1998-N024,2400279670,AFR,309A,CWA 309A AO For Compliance,EPA,04/29/1998,,,"UNLIMITED GLASSWORKS, INC.",UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110011331987
FLU990528,04-1999-N038,2400279669,AFR,309G2B,CWA 309G2B AO For Class II Penalties,EPA,04/06/2001,2500,,"UNLIMITED GLASSWORKS, INC.",UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110011331987
FLU980141,04-1998-N034,2400278914,AFR,309A,CWA 309A AO For Compliance,EPA,04/29/1998,,,MILLER MARINE,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,3732,,http://echo.epa.gov/detailed-facility-report?fid=110009137754
FLA282821,FL-20-1321North Flor,3602865711,AFR,SCWAAPO,State CWA Penalty AO,State,10/13/2021,,10000,NORTH FLORIDA HOLSTEINS,2740 CRW 232,BELL,FL,32619,GILCHRIST,4,29.726207,-82.853298,31102050603,3,11.821,48.73,3110205,241,112111,http://echo.epa.gov/detailed-facility-report?fid=110020044165
FLG110318,FL-N00000484,2400278515,AFR,SCWAAPO,State CWA Penalty AO,State,,,,FLORIDA ROCK IND - HAVANA,RTE 6 BOX 1403US HWY 27,HAVANA,FL,32333,GADSDEN,4,30.571333,-84.395111,31200030302,2,39.746,165.17,3120003,3273,,http://echo.epa.gov/detailed-facility-report?fid=110006658474
FLU880060,04-1988-N003,2400275477,AFR,309A,CWA 309A AO For Compliance,EPA,08/12/1988,,,PANAMA CITY,UNKNOWN,UNKNOWN,FL,0,BAY,4,30.237563,-85.631348,,,,,,4952,,http://echo.epa.gov/detailed-facility-report?fid=110011333654
FLU024752,04-2002-N016,2400279885,AFR,309A,CWA 309A AO For Compliance,EPA,06/12/2002,,,AFFORDABLE USED AUTO PARTS,48 SEMINOLE TRAIL,ORLANDO,FL,32833,ORANGE,4,28.54804,-81.11747,30801011004,8,47.826,901.07,3080101,5015,42314 44131 42511 441310 42512,http://echo.epa.gov/detailed-facility-report?fid=110005658127
FLU024516,04-2002-N025,2400279888,AFR,309G2B,CWA 309G2B AO For Class II Penalties,EPA,09/24/2002,2100,,AFFORDABLE USED AUTO PARTS,48 SEMINOLE TRAIL,ORLANDO,FL,32833,ORANGE,4,28.54804,-81.11747,30801011004,8,47.826,901.07,3080101,5015,42314 44131 42511 441310 42512,http://echo.epa.gov/detailed-facility-report?fid=110005658127
FLU024516,04-2002-N022,2400279889,AFR,309G2B,CWA 309G2B AO For Class II Penalties,EPA,,2100,,AFFORDABLE USED AUTO PARTS,48 SEMINOLE TRAIL,ORLANDO,FL,32833,ORANGE,4,28.54804,-81.11747,30801011004,8,47.826,901.07,3080101,5015,42314 44131 42511 441310 42512,http://echo.epa.gov/detailed-facility-report?fid=110005658127
FL0123366,FL-N00000925,2400278963,AFR,SCWAAPO,State CWA Penalty AO,State,03/17/2010,,,"HARBORSIDE REFRIGERATED SERVICES, INC.",2900 GUY N. VERGER BLVD.,TAMPA,FL,33605,HILLS,4,27.91554,-82.43185,31002060303,14,32.13,1539.65,3100206,5169 5171,424690 424710 42469 49312 42269,http://echo.epa.gov/detailed-facility-report?fid=110012799980
FLU034776,04-2003-N015,2400279872,AFR,309A,CWA 309A AO For Compliance,EPA,12/30/2002,,,FLOYD'S USED AUTO PARTS,18888 MADISON AVE,ORLANDO,FL,32820,ORANGE,4,28.56071,-81.09794,30801010905,8,36.303,400.76,3080101,5015,,http://echo.epa.gov/detailed-facility-report?fid=110014412983
FLR05A325,04-2000-N002,2400275998,AFR,309A,CWA 309A AO For Compliance,EPA,12/30/1999,,,LKQ POTOMAC GERMAN,1301 S ORANGE BLOSSOM TR,ORLANDO,FL,32805,ORANGE,4,28.526315,-81.395965,30901010101,5,60.423,3965.22,3090101,5015,423140,http://echo.epa.gov/detailed-facility-report?fid=110005595828
FLR05A325,04-2001-N038,2400275996,AFR,309G2B,CWA 309G2B AO For Class II Penalties,EPA,12/11/2001,2500,,LKQ POTOMAC GERMAN,1301 S ORANGE BLOSSOM TR,ORLANDO,FL,32805,ORANGE,4,28.526315,-81.395965,30901010101,5,60.423,3965.22,3090101,5015,423140,http://echo.epa.gov/detailed-facility-report?fid=110005595828
FLU870126,04-1987-N007,2400275607,AFR,309A,CWA 309A AO For Compliance,EPA,09/11/1987,,,GENERAL DEVELOPMENT UTILITIES,UNKNOWN,UNKNOWN,FL,0,SARASOTA,4,27.184386,-82.365835,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110009137969
FLR05F575,FL-12-1300,3400079713,AFR,SCWAAPO,State CWA Penalty AO,State,08/09/2012,,370,CEDAR BAY YACHT CLUB INC,705 E ELKCAM CIR,MARCO ISLAND,FL,34145,COLLIER,4,25.95642,-81.72236,30902040800,19,9.62,1335.5,3090204,4493,,http://echo.epa.gov/detailed-facility-report?fid=110035727069
FLU962924,FL-N00000206,2400279044,AFR,STAOCO,State Administrative Order of Consent,State,10/31/1996,,750,FLORIDA KEYS COMMUNITY COLLEGE,5901 COLLEGE RD,KEY WEST,FL,33040,MONROE,4,24.58202,-81.7428,30902030300,26,42.514,2870.16,3090203,8222,611210,http://echo.epa.gov/detailed-facility-report?fid=110017621199
FLR20CJ69,FL-20-0695,3602392771,AFR,SCWAAPO,State CWA Penalty AO,State,08/20/2020,,4537.38,LUNA TRAILS,UNKNOWN,TITUSVILLE,FL,32796,,4,28.5953,-80.8138,30802020302,8,24.548,2010.58,3080202,,,http://echo.epa.gov/detailed-facility-report?fid=110070391229
FLG912217,FL-N00000525,2400275960,AFR,STAOCO,State Administrative Order of Consent,State,06/20/2007,,,RACEWAY STORE #769,312 MIRACLE STRIP PARKWAY,FORT WALTON BEACH,FL,32548,OKALOOSA,4,30.4064,-86.63223,31401050204,1,30.821,2748.36,3140105,,,http://echo.epa.gov/detailed-facility-report?fid=110024467726
FLU970011,04-1997-N036,2400278767,AFR,309A,CWA 309A AO For Compliance,EPA,04/10/1997,,,WORLD GOLF VILLAGE AT ST JOHNS,UNKNOWN,UNKNOWN,FL,0,ST. JOHNS,4,29.890593,-81.383914,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110009137816
FLU970025,04-1997-N037,2400278613,AFR,309A,CWA 309A AO For Compliance,EPA,06/03/1997,,,SOUTH WALTON WWTP,79 OLD HWY 98,DESTIN,FL,32541,OKALOOSA,4,30.381336,-86.413362,31401020402,1,10.148,1026.22,3140102,4952,,http://echo.epa.gov/detailed-facility-report?fid=110010711685
FLR10MY69,04-2016-4780,3600795614,AFR,309A,CWA 309A AO For Compliance,EPA,08/22/2016,,,UNION PARK PHASE 7,1688 UNION PARK BLVD,WESLEY CHAPEL,FL,33543,PASCO,4,28.1847,-82.2708,31002050204,12,35.801,598.87,3100205,,,http://echo.epa.gov/detailed-facility-report?fid=110055626513
FLU962768,FL-N00000205,2400279043,AFR,STAOCO,State Administrative Order of Consent,State,12/03/1996,,1200,"AIRKAMAN OF JACKSONVILLE, INC.",14740 YONGE DRIVE,JACKSONVILLE,FL,32202,DUVAL,4,30.496155,-81.677123,30801031601,4,63.388,129.94,3080103,2911,481112 481111 811111,http://echo.epa.gov/detailed-facility-report?fid=110010044139
FLR05A586,04-2000-N006,2400278301,AFR,309A,CWA 309A AO For Compliance,EPA,01/07/2000,,,ALL AUTO HUSTLERS,3710 NORTH 40TH STREET,TAMPA,FL,33610,HILLS,4,27.979157,-82.414412,31002060301,14,78.54,2924.24,3100206,5015,42512 42511 42393 423140,http://echo.epa.gov/detailed-facility-report?fid=110009070655
FLR05H017,FL-12-1080,3400083704,AFR,SCWAAPO,State CWA Penalty AO,State,06/11/2012,,1199,SSI ONE CORPORATION,UNKNOWN,POMPANO BEACH,FL,33069,BROWARD,4,26.249167,-80.153611,30902061201,20,55.695,3756.2,3090202,5093,,http://echo.epa.gov/detailed-facility-report?fid=110042098084
FL0044237,FL-14-0730,3600498898,AFR,SCWAAPO,State CWA Penalty AO,State,01/21/2016,,0,INNLET BEACH WWTF,PALMERA DRIVE EAST,PONTE VEDRA BEACH,FL,32082,ST. JOHNS,4,30.214542,-81.385344,30801031605,6,7.532,1271.97,3080103,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110010043185
FL0044237,FL-N00000171,2400277986,AFR,STAOCO,State Administrative Order of Consent,State,06/18/1998,,9000,INNLET BEACH WWTF,PALMERA DRIVE EAST,PONTE VEDRA BEACH,FL,32082,ST. JOHNS,4,30.214542,-81.385344,30801031605,6,7.532,1271.97,3080103,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110010043185
FLU054792,04-2005-N025,2400278169,AFR,309A,CWA 309A AO For Compliance,EPA,08/12/2005,,,BAYOU POINTE,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,1521,,http://echo.epa.gov/detailed-facility-report?fid=110022462832
FLU054792,04-2005-N015,2400278170,AFR,309G2B,CWA 309G2B AO For Class II Penalties,EPA,,,,BAYOU POINTE,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,1521,,http://echo.epa.gov/detailed-facility-report?fid=110022462832
FL0040665,FL-N00000010,2400273787,AFR,SCWAAPO,State CWA Penalty AO,State,12/13/1999,,5000,"CLEWISTON, CITY OF - WWTF",115 W VENTURA AVE,CLEWISTON,FL,33440,HENDRY,4,26.724167,-80.945556,30902050102,20,71.589,466.98,3090202,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110006659188
FL0040665,FL-N00000355,2400273784,AFR,STAOCO,State Administrative Order of Consent,State,08/06/2009,,1500,"CLEWISTON, CITY OF - WWTF",115 W VENTURA AVE,CLEWISTON,FL,33440,HENDRY,4,26.724167,-80.945556,30902050102,20,71.589,466.98,3090202,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110006659188
FL0040665,FL-0040665,3601493053,AFR,SCWAAPO,State CWA Penalty AO,State,03/15/2018,,0,"CLEWISTON, CITY OF - WWTF",115 W VENTURA AVE,CLEWISTON,FL,33440,HENDRY,4,26.724167,-80.945556,30902050102,20,71.589,466.98,3090202,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110006659188
FL0040665,04-2011-4500,2200041268,AFR,309G2A,CWA 309G2A AO For Class I Penalties,EPA,01/20/2011,900,,"CLEWISTON, CITY OF - WWTF",115 W VENTURA AVE,CLEWISTON,FL,33440,HENDRY,4,26.724167,-80.945556,30902050102,20,71.589,466.98,3090202,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110006659188
FL0040665,04-2008-4515,1000015990,AFR,309G2A,CWA 309G2A AO For Class I Penalties,EPA,07/23/2008,900,,"CLEWISTON, CITY OF - WWTF",115 W VENTURA AVE,CLEWISTON,FL,33440,HENDRY,4,26.724167,-80.945556,30902050102,20,71.589,466.98,3090202,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110006659188
FL0040665,FL-N00000146,2400273786,AFR,STAOCO,State Administrative Order of Consent,State,09/27/1995,,1660,"CLEWISTON, CITY OF - WWTF",115 W VENTURA AVE,CLEWISTON,FL,33440,HENDRY,4,26.724167,-80.945556,30902050102,20,71.589,466.98,3090202,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110006659188
FL0040665,04-2016-4768,3600466664,AFR,309A,CWA 309A AO For Compliance,EPA,12/01/2015,,,"CLEWISTON, CITY OF - WWTF",115 W VENTURA AVE,CLEWISTON,FL,33440,HENDRY,4,26.724167,-80.945556,30902050102,20,71.589,466.98,3090202,4952,221320,http://echo.epa.gov/detailed-facility-report?fid=110006659188
FLL040771,04-2017-4763,3600993927,AFR,309A,CWA 309A AO For Compliance,EPA,03/21/2017,,,WASTEWATER TREATMENT FACILITY,1850 12TH ST,SARASOTA,FL,34236,SARASOTA,4,27.347711,-82.533154,31002010102,16,36.304,3267.98,3100201,4952,22132 221320,http://echo.epa.gov/detailed-facility-report?fid=110000527886
FL0040771,FL-N00000337,2400275350,AFR,STAOCO,State Administrative Order of Consent,State,06/22/2006,,23500,WASTEWATER TREATMENT FACILITY,1850 12TH ST,SARASOTA,FL,34236,SARASOTA,4,27.347711,-82.533154,31002010102,16,36.304,3267.98,3100201,4952,22132 221320,http://echo.epa.gov/detailed-facility-report?fid=110000527886
FL0040771,FL-0040771,3601493150,AFR,SCWAAPO,State CWA Penalty AO,State,03/02/2018,,0,WASTEWATER TREATMENT FACILITY,1850 12TH ST,SARASOTA,FL,34236,SARASOTA,4,27.347711,-82.533154,31002010102,16,36.304,3267.98,3100201,4952,22132 221320,http://echo.epa.gov/detailed-facility-report?fid=110000527886
FL0040771,FL-N00000434,2400275348,JDC,CIV,Civil Judicial Action,State,08/13/2007,,,WASTEWATER TREATMENT FACILITY,1850 12TH ST,SARASOTA,FL,34236,SARASOTA,4,27.347711,-82.533154,31002010102,16,36.304,3267.98,3100201,4952,22132 221320,http://echo.epa.gov/detailed-facility-report?fid=110000527886
FLU044779,04-2004-N015,2400273036,AFR,309A,CWA 309A AO For Compliance,EPA,04/05/2004,,,SPRING LAKE VILLAGE,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,1521,,http://echo.epa.gov/detailed-facility-report?fid=110016759257
FLR10SK00,FL-19-1470,3602211837,AFR,SCWAAPO,State CWA Penalty AO,State,01/10/2020,,10000,BRYLINGTON MANOR BY ADAMS HOMES,6941 KLONDIKE RD,PENSACOLA,FL,32526,ESCAMBIA,4,30.491303,-87.334844,31401070101,1,27.449,784.05,3140107,,,http://echo.epa.gov/detailed-facility-report?fid=110070548757
FLU980035,04-1998-N060,2400279021,AFR,309A,CWA 309A AO For Compliance,EPA,03/31/1998,,,RIDGE RUNNER AIR BOATS,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,3732,,http://echo.epa.gov/detailed-facility-report?fid=110011332245
FLU980035,04-1999-N018,2400279022,AFR,309G2B,CWA 309G2B AO For Class II Penalties,EPA,,,,RIDGE RUNNER AIR BOATS,UNKNOWN,UNKNOWN,FL,0,,4,28.45743,-82.409148,,,,,,3732,,http://echo.epa.gov/detailed-facility-report?fid=110011332245
FLR05A592,04-2000-N007,2400278591,AFR,309A,CWA 309A AO For Compliance,EPA,12/22/1999,,,RIGSBY'S AUTO PARTS & SALES,40147 LYNBROOK DR,ZEPHYRHILLS,FL,33540,PASCO,4,28.25555,-82.15174,31002080205,12,14.909,909.85,3100208,5015,811113 42314 811121 811111 423140,http://echo.epa.gov/detailed-facility-report?fid=110009070673
