CaseNumber,CaseName,CaseCategoryDesc,CaseStatusDesc,PrimaryLaw,PrimarySection,DateFiled,SettlementDate,FedPenalty,SEPCost,TotalCompActionAmt,SettlementCnt
04-1986-0071,"SARASOTA FLORIDA, CITY OF & STATE OF FLORIDA (SARASOTA WWTP)",Judicial,Closed,CWA,301,02/06/1987,12/13/1988,165000,0,0,1
04-1986-0072,"ARCADIA, FLORIDA, CITY OF (WILLIAM TYSON WWTP)",Judicial,Closed,CWA,301,02/25/1987,03/28/1989,40000,0,0,1
04-1987-0012,"GENERAL DEVELOPMENT UTILITIES, INC._(NORTH PORT)",Judicial,Closed,CWA,301,09/23/1987,12/15/1987,367000,0,0,1
04-1987-0016,PINELLAS COUNTY FLORIDA,Judicial,Closed,CWA,301,02/29/1988,01/18/1991,350000,0,0,1
04-1987-0036,"CLEARWATER, FL, CITY OF & STATE OF FLORIDA",Judicial,Closed,CWA,301,12/15/1988,01/18/1989,300000,0,0,1
04-1987-0037,"HILLSBOROUGH COUNTY, FL.",Judicial,Closed,CWA,301,08/22/1988,10/31/1988,195000,0,0,1
04-1988-0002,"PAHOKEE, CITY OF",Judicial,Closed,CWA,301,04/29/1988,05/31/1989,45000,0,0,1
04-1988-0012,"CARRABELLE, CITY OF",Judicial,Closed,CWA,301A,12/14/1988,02/23/1989,6000,0,0,1
04-1988-0016,"MONTICELLO, FL, CITY OF",Judicial,Closed,CWA,301A,02/06/1989,05/12/1989,15000,0,0,1
04-1988-0019,ESCAMBIA COUNTY UTILITIES AUTHORITY,Judicial,Closed,CWA,301,07/25/1988,08/30/1988,120000,0,0,1
04-1988-0027,UNIVERSAL CIRCUITS,Administrative - Formal,Closed,CWA,301/307,02/04/1988,09/24/1990,21064,0,0,1
04-1988-0053,"BONIFAY, CITY OF",Judicial,Closed,CWA,301,12/19/1989,03/12/1990,10000,0,0,1
04-1988-0055,"NEPTUNE BEACH, CITY OF",Judicial,Closed,CWA,301A,07/31/1989,11/13/1989,18300,0,0,1
04-1988-0060,"MACCLENNY, CITY OF",Judicial,Closed,CWA,301,05/25/1989,05/02/1996,13900,0,0,2
04-1988-0066,SEMINOLE REFINING CORPORATION,Administrative - Formal,Closed,CWA,301,08/23/1988,12/30/1988,12000,0,0,1
04-1988-0093,"WILDWOOD, CITY OF",Judicial,Closed,CWA,301,07/28/1989,11/13/1989,12000,0,0,1
04-1988-0095,"HASTINGS, TOWN OF",Judicial,Closed,CWA,309,11/01/1993,11/01/1993,4500,0,0,1
04-1988-0096,"TECHNITRONICS, INC.",Administrative - Formal,Closed,CWA,301/307,07/21/1988,,10000,0,0,1
04-1989-0037,"GARDINIER, INC.",Judicial,Closed,CWA,311,08/11/1989,10/20/1989,40000,0,0,1
04-1989-0067,"CAPE CORAL, CITY OF",Judicial,Closed,CWA,301,03/18/1991,12/03/1992,375000,0,0,1
04-1989-0073,REEDY CREEK IMPROVEMENT DISTRICT,Judicial,Closed,CWA,402,06/11/1990,08/29/1990,375000,0,0,1
04-1989-0094,"GRAND PALMS GOLF AND COUNTRY CLUB, INC.",Administrative - Formal,Closed,CWA,301,05/30/1989,,8000,0,0,1
04-1989-0120,SEMINOLE REFINING CORPORATION,Judicial,Closed,CWA,301A,10/19/1989,01/30/1990,0,0,0,1
04-1989-0121,ESCAMBIA COUNTY UTILITIES AUTHORITY,Judicial,Closed,CWA,301,09/13/1990,02/06/1991,135000,0,0,1
04-1989-0125,GAINESVILLE REGIONAL UTILITIES,Judicial,Closed,CWA,301,07/18/1990,09/27/1990,120000,0,0,1
04-1990-0002,TAMPA ELECTRIC CO. (F.J. GANNON STATION),Administrative - Formal,Closed,CWA,301,09/29/1989,,64000,0,0,1
04-1990-0003,TAMPA ELECTRIC CO. (BIG BEND),Administrative - Formal,Closed,CWA,301,09/29/1989,,72000,0,0,1
04-1990-0004,"FORT MYERS, CITY OF (SOUTH STP)",Administrative - Formal,Closed,CWA,301,09/29/1989,09/25/1990,140000,0,0,1
04-1990-0005,"FORT MYERS, CITY OF (CENTRAL STP)",Administrative - Formal,Closed,CWA,301,09/29/1989,09/25/1990,140000,0,0,1
04-1990-0014,"CSX TRANSPORTATION, INC.",Administrative - Formal,Closed,CWA,301,09/29/1989,,12000,0,0,1
04-1990-0015,"HOWCO ENVIRONMENTAL SERVICES, LTD.",Administrative - Formal,Closed,CWA,301/307,07/11/1989,09/07/1989,10000,0,0,1
04-1990-0016,"B & W CANNING CO., INC.",Administrative - Formal,Closed,CWA,301,09/28/1989,,8500,0,0,1
04-1990-0027,"CSX TRANSPORTATION, INC.",Judicial,Closed,CWA,301,04/10/1992,12/14/1993,3000000,0,0,1
04-1990-0033,"LAKE CITY, CITY OF",Administrative - Formal,Closed,CWA,301,12/27/1989,12/27/1989,9000,0,0,1
04-1990-0034,ESCAMBIA COUNTY UTILITY AUTHORITY,Administrative - Formal,Closed,CWA,301/307,11/14/1989,11/14/1989,35000,0,0,1
04-1990-0035,"HOWCO ENVIRONMENTAL SERVICES, LTD.",Administrative - Formal,Closed,CWA,301/307,07/11/1989,09/07/1989,0,0,0,1
04-1990-0036,ORTEGA UTILITY COMPANY,Administrative - Formal,Closed,CWA,301,09/29/1989,02/07/1990,10000,0,0,1
04-1990-0109,SOUTHERN BELL TRAILER PARK,Administrative - Formal,Closed,CWA,301,06/05/1990,06/19/1990,2500,0,0,1
04-1990-0110,FLORIDA DEPARTMENT OF CORRECTIONS,Administrative - Formal,Closed,CWA,301,04/11/1990,05/25/1990,100000,0,0,1
04-1990-0114,"AMERICAN RESOURCE MANAGEMENT, INC.",Administrative - Formal,Closed,CWA,301A,02/13/1990,03/27/1990,3000,0,0,1
04-1990-0138,"PORT ST. JOE, CITY OF",Judicial,Closed,CWA,301,08/11/1994,08/11/1994,350000,0,0,1
04-1990-0141,"ATLANTIC BEACH, CITY OF",Administrative - Formal,Closed,CWA,301,09/18/1990,,22000,0,0,1
04-1990-0142,"CAPE CANAVERAL, FL.",Administrative - Formal,Closed,CWA,301,09/26/1990,,30000,0,0,1
04-1990-0143,"GRETNA, CITY OF",Administrative - Formal,Closed,CWA,301,09/27/1990,01/03/1992,0,0,0,1
04-1990-0144,FLORIDA DEPARTMENT OF CORRECTIONS,Administrative - Formal,Closed,CWA,301,09/21/1990,,12600,0,0,1
04-1990-0146,JACKSONVILLE UNIVERSITY,Administrative - Formal,Closed,CWA,301,09/20/1990,,6500,0,0,1
04-1990-0148,HOLIDAY L.T.D. D/B/A HOLIDAY ESTATES M.H.P.,Administrative - Formal,Closed,CWA,301,09/25/1990,,6000,0,0,1
04-1990-0150,"CAPITAL INVESTMENT MANAGEMENT GROUP, INC.",Administrative - Formal,Closed,CWA,301,09/28/1990,,3000,0,0,1
04-1990-0151,CHARLOTTE HARBOUR WATER ASSOCIATION,Administrative - Formal,Closed,CWA,301,09/21/1990,,5000,0,0,1
04-1990-0153,FLORIDA CITIES WATER COMPANY,Administrative - Formal,Closed,CWA,301,09/25/1990,,15000,0,0,1
04-1990-0154,"ALTAMONTE SPRINGS, CITY OF",Administrative - Formal,Closed,CWA,301,09/25/1990,03/02/1992,55000,0,0,1
04-1990-0155,"PORT ORANGE, CITY OF",Administrative - Formal,Closed,CWA,301,09/25/1990,12/06/1990,22000,0,0,1
04-1990-0157,HARRIS CORPORATION,Administrative - Formal,Complaint Filed/AO Issued,CWA,301,09/28/1990,,0,0,0,1
04-1990-0158,DEMETREE ENTERPRISES,Administrative - Formal,Closed,CWA,301,09/28/1990,04/17/1991,1000,0,0,1
04-1990-0160,MONTEREY MOTEL,Administrative - Formal,Closed,CWA,308,09/28/1990,02/13/1991,2000,0,0,1
04-1990-0161,"DELTA AIR LINES, INC.",Administrative - Formal,Closed,CWA,308,09/20/1990,04/05/1991,4500,0,0,1
04-1990-0162,INTERNATIONAL MINERALS AND CHEMICAL CORPORATION,Administrative - Formal,Closed,CWA,301,09/25/1990,02/13/1991,15000,0,0,1
04-1990-0163,"PALMETTO, CITY OF",Administrative - Formal,Closed,CWA,301,09/26/1990,08/30/1991,30000,0,0,1
04-1990-0164,SEACOAST UTILITY AUTHORITY,Administrative - Formal,Closed,CWA,301,09/21/1990,12/10/1990,16000,0,0,1
04-1990-0165,"HOLLY HILL, CITY OF",Administrative - Formal,Complaint Filed/AO Issued,CWA,301,09/19/1990,,0,0,0,1
04-1990-0166,"EVERGLADES, CITY OF",Administrative - Formal,Complaint Filed/AO Issued,CWA,301,09/28/1990,,0,0,0,1
04-1990-0169,"PALATKA, CITY OF",Administrative - Formal,Closed,CWA,301,09/12/1990,,7289,0,0,1
04-1990-0175,"SOUTH BAY, CITY OF",Administrative - Formal,Closed,CWA,301,09/13/1990,12/10/1990,10000,0,0,1
04-1990-0176,ESCAMBIA COUNTY UTILITIES AUTHORITY,Administrative - Formal,Closed,CWA,301,09/12/1990,09/04/1992,83610,0,0,1
04-1991-0003,BAYOU MARCUS,Judicial,Closed,CWA,301,01/23/1991,01/23/1991,0,0,0,1
04-1991-0020,"BUNNELL, CITY OF",Judicial,Closed,CWA,301,07/22/1991,11/16/1992,105000,0,0,1
04-1991-0022,"HOLLYWOOD, CITY OF",Administrative - Formal,Closed,CWA,309G,12/10/1990,,60000,0,0,1
04-1991-0049,"LYNN HAVEN, CITY OF",Judicial,Closed,CWA,301,01/27/1994,07/28/1995,300000,0,0,1
04-1991-0059,"NEPTUNE BEACH FLORIDA, CITY OF",Judicial,Closed,CWA,301,08/31/1992,08/31/1992,100000,0,0,1
04-1991-0060,"FLORIDA TILE INDUSTRIES, INC",Judicial,Closed,CWA,301A,03/17/1992,08/03/1993,493070,0,0,1
04-1992-0007,ESCAMBIA COUNTY UTILITIES AUTHORITY,Judicial,Closed,CAA,111E,03/21/1996,03/21/1996,235000,0,0,1
04-1992-0023,"MADISON, FLORIDA, CITY OF",Judicial,Closed,CWA,301,05/16/1994,08/04/1994,100000,0,0,1
04-1992-0035,"TITUSVILLE, FL, CITY OF",Judicial,Closed,CWA,301,01/04/1995,10/13/1995,475000,0,40000000,1
04-1992-0038,FLORIDA CITIES WATER COMPANY,Judicial,Closed,CWA,301,10/01/1993,08/20/1996,309710,0,0,1
04-1993-1484,"BUDGET MOTOR LODGE/SUMTER INN, INC. AND GEORGE WANG",Administrative - Formal,Final Order Issued,CWA,309G,07/29/1993,06/19/1995,38965,0,0,1
04-1993-1659,"IMC - AGRICO COMPANY & IMC FERTILIZER, INC.",Judicial,Closed,CWA,301,12/27/1994,12/27/1994,835000,0,0,1
04-1993-1696,"SOUTHDOWN, INC., D/B/A/ FL MINING & MATERIALS CONCRETE CO.",Judicial,Closed,CWA,301,09/16/1994,09/04/1996,350000,0,0,1
04-1994-0206,PLAZA MATERIALS CORPORATION,Administrative - Formal,Closed,CWA,301A,03/28/1995,10/16/1995,42000,0,0,1
04-1994-0295,"ATLANTIC GARDEN APARTMENTS, LTD. AND GRACE, PHILIP C.",Administrative - Formal,Closed,CWA,301,05/13/1994,10/10/1997,10000,0,0,1
04-1994-0331,POINT TOWNHOUSES,Administrative - Formal,Closed,CWA,301,09/19/1994,05/28/1997,10000,0,0,1
04-1994-0374,GULF ISLANDS NATIONAL SEASHORE,Judicial,Closed,CWA,301,07/14/1994,04/26/1996,0,0,0,1
04-1994-0458,CIMARRON APARTMENTS,Administrative - Formal,Final Order Issued,CWA,301A,10/26/1994,03/10/1995,7000,0,0,1
04-1994-0480,"PALMETTO, CITY OF",Judicial,Closed,CWA,301,09/12/1997,09/12/1997,65000,535000,0,1
04-1995-0097,FLORIDA DEPARTMENT OF HEALTH AND REHABILITATIVE SERVICES,Administrative - Formal,Closed,CWA,301A,01/09/1995,04/21/1995,6400,0,0,1
04-1995-0107,FLORIDA DEPARTMENT OF HEALTH & REHABILITATIVE SERVICES,Administrative - Formal,Closed,CWA,301A,01/25/1996,01/25/1996,41000,0,0,1
04-1995-0140,MOBIL MINING AND MINERALS CO.,Judicial,Closed,CWA,301,03/28/1996,11/25/1996,200000,0,0,1
04-1995-0148,"CLAY COUNTY, FLORIDA",Administrative - Formal,Closed,CWA,301,03/09/1995,06/20/1995,12000,0,0,1
04-1995-0412,FLORIDA WATER SERVICES (SOUTHERN STATES UTILITIES),Judicial,Closed,CWA,309,05/20/1998,05/20/1998,200000,0,450000,1
04-1995-0419,CONDOR LAND COMPANY,Administrative - Formal,Closed,CWA,404,03/21/1995,12/15/1998,34235,0,0,1
04-1995-0430,HILLSBOROUGH SCWWTP,Administrative - Formal,Closed,CWA,301A,06/28/1995,04/26/1996,72500,0,0,1
04-1995-0484,"TRI COUNTY WATER CONDITIONING, INC.",Administrative - Formal,Closed,CWA,301A,09/08/1993,02/04/1997,9000,0,0,1
04-1996-0210,"TURBOCOMBUSTER TECHNOLOGY, INC.",Judicial,Closed,CWA,301/307,09/24/1997,09/24/1997,200000,0,0,1
04-1996-0355,"PAWLOWSKI, EDWARD",Administrative - Formal,Closed,CWA,404,05/22/1996,11/20/2000,0,0,15000,1
04-1996-0403,"SARASOTA, CITY OF (FLORIDA)",Administrative - Formal,Closed,CWA,301A,06/18/1996,04/18/1997,28800,0,0,1
04-1996-0502,FLORIDA DEPARTMENT OF HEALTH AND REHABILITATIVE SERVICES,Administrative - Formal,Final Order Issued,CWA,301A,,02/17/1996,0,0,0,1
04-1996-0647,"SARTORI, JAMES/WILLOWBROOK FARMS",Judicial,Closed,CWA,404,03/12/1998,,,,,
04-1997-0005,"ADNAN INVESTMENT AND DEVELOPMENT, INC.",Administrative - Formal,Final Order Issued,CWA,404,11/12/1996,05/03/1999,2000,0,0,1
04-1997-0120,HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT,Administrative - Formal,Closed,CWA,301A,,03/31/1997,0,0,0,1
04-1997-0121,"NICEVILLE, VALPARAISO, OKALOOSA COUNTY REGIONAL SEWER BOARD",Administrative - Formal,Final Order Issued,CWA,405,,10/02/1996,0,0,0,1
04-1997-0149,"CUSTOM DOCKS AND REPAIRS, INC.",Administrative - Formal,Final Order Issued,CWA,404,03/10/1997,08/20/1997,1000,0,0,1
04-1997-0150,G.J.P.S. LUKAS CORPORATION,Administrative - Formal,Final Order Issued,CWA,404,03/10/1997,11/09/1997,30000,0,0,1
04-1997-0159,"PETTIS, CHARLES A.",Administrative - Formal,Final Order Issued,CWA,404,10/15/1996,02/14/2000,0,0,0,1
04-1997-0161,PRINCE CONTRACTING D/B/A WORLD GOLF VILLAGE AT ST. JOHNS,Administrative - Formal,Final Order Issued,CWA,301,,04/10/1997,0,0,0,1
04-1997-0215,"SOUTH WALTON UTILITY CO., INC (FLORIDA)",Administrative - Formal,Closed,CWA,405,,06/03/1997,0,0,0,1
04-1997-0265,INDUSTRIAL METAL CENTER,Administrative - Formal,Closed,CWA,308,,06/26/1997,0,0,1600,1
04-1997-0266,"AIRPORT LIMOUSINE SERVICE, INC. D/B/A A1 BUS LINES",Administrative - Formal,Closed,CWA,308,,06/26/1997,0,0,1600,1
04-1997-0267,"MIAMI IRON & METAL COMPANY, INC.",Administrative - Formal,Closed,CWA,308,,06/26/1997,0,0,1600,1
04-1997-0268,"CENTURY RECYCLING, INC.",Administrative - Formal,Final Order Issued,CWA,308,,06/26/1997,0,0,1600,1
04-1997-0269,"SOUTH BEACH DECO-STONE, INC.",Administrative - Formal,Final Order Issued,CWA,308,,06/26/1997,0,0,1600,1
04-1997-0270,ROBERT'S USED PALLETS,Administrative - Formal,Closed,CWA,308,,06/25/1997,0,0,1600,1
04-1997-0271,ALLIED METALS CORPORATION,Administrative - Formal,Closed,CWA,308,,06/25/1997,0,0,1600,1
04-1997-0272,MIAMI MACHINERY & METAL CO DBA MIAMI METAL RECYCLING CO.,Administrative - Formal,Final Order Issued,CWA,308,,06/25/1997,0,0,1600,1
04-1997-0273,"MIAMI WASTE PAPER CO., INC.",Administrative - Formal,Closed,CWA,308,,06/25/1997,0,0,1600,1
04-1997-0274,"TRIANGLE SCRAP METALS, INC.",Administrative - Formal,Closed,CWA,308,,06/25/1997,0,0,0,1
04-1997-0275,U.S. SCRAP METAL CORPORATION,Administrative - Formal,Closed,CWA,308,,06/25/1997,0,0,0,1
04-1997-0281,MIAMI AUTO AND TRUCK PARTS INC D/B/A BUD'S AUTO PARTS,Administrative - Formal,Closed,CWA,308,,06/26/1997,0,0,0,1
04-1997-0282,"CHAVEZ USED AUTO PARTS, INC.",Administrative - Formal,Final Order Issued,CWA,308,,06/26/1997,0,0,0,1
04-1997-0283,ARROW RECYCLING CENTER,Administrative - Formal,Closed,CWA,308,,06/26/1997,0,0,0,1
04-1997-0284,NARA CORP. INC D/B/A NATIONAL PALLETS,Administrative - Formal,Final Order Issued,CWA,308,,06/26/1997,0,0,0,1
04-1997-0285,RIVER RECYCLING COMPANY,Administrative - Formal,Closed,CWA,308,,06/25/1997,0,0,0,1
04-1997-0286,ATLAS INCORPORATED,Administrative - Formal,Final Order Issued,CWA,308,,06/25/1997,0,0,0,1
04-1997-0287,METRO USED PALLETS,Administrative - Formal,Final Order Issued,CWA,308,,06/25/1997,0,0,0,1
04-1997-0288,BAHIA HONDA SCRAP METAL CORPORATION,Administrative - Formal,Final Order Issued,CWA,308,,06/25/1997,0,0,0,1
04-1997-0289,"TROPICAL PALLETS, INC.",Administrative - Formal,Final Order Issued,CWA,308,,06/25/1997,0,0,0,1
04-1997-0290,GENERAL METALS CORPORATION,Administrative - Formal,Closed,CWA,308,,06/25/1997,0,0,0,1
04-1997-0291,"BUD MILLER, INC. D/B/A CATO MACHINE WORK",Administrative - Formal,Final Order Issued,CWA,308,06/25/1997,06/25/1997,0,0,0,1
04-1997-0292,EAST COAST SCRAP METALS,Administrative - Formal,Final Order Issued,CWA,308,,06/25/1997,0,0,0,1
04-1997-0297,"LEAD ENTERPRISES, INC.",Administrative - Formal,Final Order Issued,CWA,308,06/25/1997,06/25/1997,0,0,0,1
04-1997-0299,"FLAGLER BEACH, FL, CITY OF",Administrative - Formal,Final Order Issued,CWA,405,06/25/1997,06/25/1997,0,0,0,1
04-1997-0351,"BANKS LUMBER CO., INC.",Administrative - Formal,Final Order Issued,CWA,308,,07/21/1997,0,0,1600,1
04-1997-0354,"CROOK CREEK FARMS, INC.",Administrative - Formal,Closed,CWA,405,07/21/1997,06/10/1998,4466,0,0,1
04-1997-0359,"CROOK CREEK FARMS, INC.",Administrative - Formal,Closed,CWA,405,,07/21/1997,0,0,0,1
04-1997-0363,"STUART, FL, CITY OF, WWTP",Administrative - Formal,Closed,CWA,405,,07/17/1997,0,0,0,1
04-1997-0366,SILVER SPRINGS CITRUS,Administrative - Formal,Closed,CWA,308A,07/15/1997,02/06/1998,1500,0,0,1
04-1997-0367,"NICEVILLE, VALPARAISO, OKALOOSA COUNTY",Administrative - Formal,Closed,CWA,405,07/08/1997,11/26/1997,7800,0,0,1
04-1997-0370,"COOPER CITY, FL, CITY OF",Administrative - Formal,Closed,CWA,405,,07/03/1997,0,0,0,1
04-1997-0372,"DESTIN WATER USERS, INC.",Administrative - Formal,Closed,CWA,405,07/02/1997,07/02/1997,0,0,0,1
04-1997-0373,"NICEVILLE, VALPARAISO, OKALOOSA COUNTY",Administrative - Formal,Closed,CWA,405,,07/03/1997,0,0,0,1
04-1997-0377,CATO MACHINE WORKS INC.,Administrative - Formal,Closed,CWA,308,,08/01/1997,0,0,0,1
04-1997-0381,"DESTIN WATER USERS, INC.",Administrative - Formal,Closed,CWA,405,08/06/1997,11/05/1997,4500,0,0,1
04-1997-0400,"BROWARD COUNTY, FL (DEPARTMENT OF PUBLIC WORKS)",Administrative - Formal,Closed,CWA,405,,08/18/1997,0,0,0,1
04-1997-0408,PASCO COUNTY UTILITIES OPERATIONS & MAINTENANCE,Administrative - Formal,Final Order Issued,CWA,405,,08/19/1997,0,0,0,1
04-1997-0417,"ANDERSON COLUMBIA COMPANY, INC.",Administrative - Formal,Final Order Issued,CWA,301,,08/26/1997,0,0,0,1
04-1997-0418,PITTS TRUCKING,Administrative - Formal,Closed,CWA,301,,09/02/1997,0,0,0,1
04-1997-0420,"ANDERSON COLUMBIA COMPANY, INC.",Administrative - Formal,Closed,CWA,301,08/26/1997,,0,0,0,1
04-1997-0428,"AIRPORT LIMOUSINE SERVICE, INC. D/B/A A1 BUS LINES",Administrative - Formal,Closed,CWA,308,09/10/1997,03/05/1998,1600,0,0,1
04-1997-0429,ARROW RECYCLING CORPORATION,Administrative - Formal,Closed,CWA,308,09/10/1997,06/10/1998,2000,0,0,1
04-1997-0430,BAHIA HONDA SCRAP METAL CORPORATION,Administrative - Formal,Closed,CWA,308,09/10/1997,03/17/1998,1600,0,1000,1
04-1997-0431,"CHAVEZ USED AUTO PARTS, INC.",Administrative - Formal,Closed,CWA,308,09/10/1997,01/28/1998,2000,0,0,1
04-1997-0432,U.S. SCRAP METAL CORPORATION,Administrative - Formal,Closed,CWA,308,09/10/1997,03/17/1998,1000,0,1000,1
04-1997-0433,"TROPICAL PALLETS, INC.",Administrative - Formal,Closed,CWA,308,09/10/1997,01/09/1998,2000,0,0,1
04-1997-0436,ROBERT'S USED PALLETS (PENALTY ORDER),Administrative - Formal,Complaint Filed/AO Issued,CWA,308,09/10/1997,,0,0,0,1
04-1997-0437,RIVER RECYCLING COMPANY,Administrative - Formal,Closed,CWA,308,09/10/1997,07/29/1998,1600,0,500,1
04-1997-0438,"MIAMI WASTE PAPER CO., INC",Administrative - Formal,Closed,CWA,308,09/10/1997,12/10/1997,1600,0,0,1
04-1997-0439,"MIAMI MACHINERY & METAL CO., D/B/A MIAMI METAL RECYCLING CO.",Administrative - Formal,Complaint Filed/AO Issued,CWA,308,09/10/1997,,0,0,0,1
04-1997-0440,"NARA CORP, INC. D/B/A NATIONAL PALLETS",Administrative - Formal,Closed,CWA,308,09/10/1997,03/30/1998,1600,0,0,1
04-1997-0441,ATLAS INCORPORATED,Administrative - Formal,Closed,CWA,308,09/10/1997,07/06/1998,6000,0,0,1
04-1997-0442,"MIAMI IRON & METAL COMPANY, INC.",Administrative - Formal,Complaint Filed/AO Issued,CWA,308,09/10/1997,,0,0,0,1
04-1997-0443,"EAST COAST SCRAP METALS, INC.",Administrative - Formal,Closed,CWA,308,09/10/1997,12/17/1997,1600,0,0,1
04-1997-0444,GENERAL METALS CORPORATION,Administrative - Formal,Complaint Filed/AO Issued,CWA,308,09/10/1997,,0,0,0,1
04-1997-0445,METRO USED PALLETS,Administrative - Formal,Complaint Filed/AO Issued,CWA,308,09/10/1997,,0,0,0,1
04-1997-0447,APACHE PERFORMANCE BOATS,Administrative - Formal,Final Order Issued,CWA,308,,09/10/1997,0,0,0,1
04-1997-0451,"AIRBOATS WEST, INC.",Administrative - Formal,Final Order Issued,CWA,308,,09/10/1997,0,0,0,1
04-1997-0452,"AIRBOAT ENGINEERING, INC.",Administrative - Formal,Final Order Issued,CWA,308,,09/10/1997,0,0,0,1
04-1997-0453,"AIRBOAT SERVICE, INC.",Administrative - Formal,Final Order Issued,CWA,308,,09/10/1997,0,0,0,1
04-1997-0454,ADOLFOS CUSTOM BOAT WORKS,Administrative - Formal,Closed,CWA,308,,09/10/1997,0,0,0,1
04-1997-0455,ACTION MARINE,Administrative - Formal,Final Order Issued,CWA,308,,09/10/1997,0,0,0,1
04-1997-0456,"AMERICAN MARINE REPAIR, INC.",Administrative - Formal,Final Order Issued,CWA,308,,09/10/1997,0,0,0,1
04-1997-0457,TRIANGLE SCRAP METALS INC.,Administrative - Formal,Complaint Filed/AO Issued,CWA,308,09/10/1997,,0,0,0,1
04-1997-0458,"SOUTH BEACH DECO-STONE, INC.",Administrative - Formal,Closed,CWA,308,09/10/1997,04/29/1998,1000,0,0,1
04-1997-0463,FLORIDA DESIGN COMMUNITIES,Administrative - Formal,Final Order Issued,CWA,404,09/15/1997,09/08/1999,27000,0,0,1
04-1997-0469,"ALLISON MARINE, INC.",Administrative - Formal,Closed,CWA,308,,09/18/1997,0,0,0,1
